1301589E-B987-480D-A935-10B0D834614B	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Выгрузка реестра на оплату по районом]->[Проверка?]	{      DynaDoc sheet = context.GetDynaDoc(context.Get<Guid>("InputDocumentId"));      if (sheet.DocD	CA7FAD57-DB45-4AF5-8A2B-BB893A38A21E	1	2	4	321
B93CED6C-E719-46F8-8AE2-C7472261B07E	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Выгрузка реестра на оплату по районом]->{Скрипт}	/*using System.Drawing;  using System.Collections.Generic;  using Intersoft.Cissa.Report.Xls;  using	CA7FAD57-DB45-4AF5-8A2B-BB893A38A21E	2	1	4	13175
4B9E399D-8724-46FB-83D6-6C46D90B90B4	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Выгрузка реестра на оплату]->{Скрипт}	using System;  using System.IO;  using System.Drawing;  using System.Collections.Generic;  using Int	C26A9204-31F8-4198-B176-5576A70EDC1C	3	2	2	11271
E91F434E-10A2-41C8-B654-BE053E4673FC	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Оплатить реестр на оплату: Район+Номер выплаты]->[Скрипт]	{      var regDistrictNo = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));        	F9258B34-1FCB-4B24-A4C6-1BEEC8A8317C	1	1	3	692
6E758332-42DB-4783-95FB-669CBE8F05A1	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Отложить реестр на оплату: район и номер выплаты]->[Скрипт]	{      var regDistrictNo = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));        	23C41D42-30F1-4F66-8A12-6615A292E212	1	1	3	700
2A4C6462-8ADA-4519-8F2B-7DE734929A88	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Отменить реестр на оплату]->[Скрипт]	{      var reg = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));            var qb	C20BCB86-3A34-4FCC-B345-0F5010CE61E8	2	2	1	1122
F7B313F0-C4B6-422E-B1AA-18891304CEDD	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Печать платежного поручения]->{Скрипт}	{      var docRepo = context.Documents;            var order = docRepo.LoadById((Guid)context["Input	38F7002B-3C4E-48C1-836F-D6AFD4AA4460	1	1	2	529
88DC919C-06AE-40C6-84F2-75EB5D695E11	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Утвердить реестр на оплату]->[Подготовка и проверка статуса]	{      var reg = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));            var qb	B62E64A7-3712-4F44-9A6D-C161766E2ECB	2	2	1	1241
4E81B752-993E-46CA-8999-BAECF33BB9EF	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Формирование реестра на оплату. Отложенных платежей]->[Подготовка выборки реестров с отложенными оплатами]	{      var registryDefId = new Guid("{B3BB3306-C3B4-4F67-98BF-B015DEEDEFFF}"); // Банк.реестр на опл	843CAF19-DD6B-491A-9202-03A94BAC9256	1	1	1	968
45D91FAD-9ED2-4249-B8D9-CE65C155E7EB	[Выплаты АСП]->[Процессы]->[Реестр на оплату]->[Формирование реестра на оплату. Отложенных платежей]->{Подготовка реестра}	{      if (context.CurrentDocument != null) //(obj != null)       {           Doc doc = context.Curr	843CAF19-DD6B-491A-9202-03A94BAC9256	1	1	1	1323
